보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
굴진효과조사,1984,"장자금광산(금,은)굴진효과조사보고서",장자금,"금,동,은","경상북도청송군현동면,경상북도포항시북구죽장면",,84굴-034
굴진효과조사,1984,"성원(금,은)광산굴진효과조사보고서",성원,"금,은",경상북도성주군선남면,,84굴-033
굴진효과조사,1984,"부암(금,은)광산굴진효과조사보고서",부암,"금,은",강원도평창군진부면,,84굴-032
굴진효과조사,1984,"청계광산(금,은)굴진효과조사보고서",청계,"금,은",경상북도칠곡군석적읍,,84굴-031
굴진효과조사,1984,"삼광광산(금,은)굴진효과조사보고서",삼광,"금,은",충청남도청양군운곡면,대흥_068,84굴-030
굴진효과조사,1984,"태창(금,은)광산굴진효과조사보고서",태창,"금,은",충청북도충주시노은면,,84굴-029
굴진효과조사,1984,"성창(금,은)광산굴진효과조사보고서",성창,"금,동,아연,연,은",충청북도충주시소태면,,84굴-028
굴진효과조사,1984,"풍월(금,은)광산굴진효과조사보고서",풍월,"금,은",전라북도정읍시영원면,,84굴-027
굴진효과조사,1984,백운광산(은)굴진효과조사보고서,백운,"금,동,아연,연,은","전라북도장수군장수읍,전라북도진안군백운면",,84굴-026
굴진효과조사,1984,백운광산(은)굴진효과조사보고서,백운,"금,동,아연,연,은","전라북도장수군장수읍,전라북도진안군백운면",,84굴-025
굴진효과조사,1984,"은치(금,은)광산굴진효과조사보고서",은치,"금,동,아연,연,은",강원도삼척시하장면,,84굴-024
굴진효과조사,1984,"부림(금,은)광산굴진효과조사보고서",부림,"금,동,아연,연,은",경상남도합천군적중면,,84굴-023
굴진효과조사,1984,"봉화(금,은)광산굴진효과조사보고서",봉화,"금,은",충청남도공주시탄천면,,84굴-022
굴진효과조사,1984,"삼봉(금,은)광산굴진효과조사보고서",삼봉,"금,은",충청북도제천시백운면,,84굴-021
굴진효과조사,1984,"추은(금,은)광산굴진효과조사보고서",추은,"금,동,아연,연,은",충청북도괴산군장연면추점리,,84굴-020
굴진효과조사,1984,"청계광산(금,은)굴진효과조사보고서",청계,"금,동,아연,연,은",경상북도칠곡군석적읍,,84굴-019
굴진효과조사,1984,"상은광산(금,은)굴진효과조사보고서",상은,"금,은",경상북도봉화군소천면,,84굴-018
굴진효과조사,1984,"설화(금,은)광산굴진효과조사보고서",설화,"금,동,은",충청남도아산시송악면외암리,,84굴-017
굴진효과조사,1984,"설화(금,은)광산굴진효과조사보고서",설화,"금,은",충청남도아산시,,84굴-016
굴진효과조사,1984,"보련(금,은)광산굴진효과조사보고서",보련,"금,아연,연,은",충청북도충주시노은면,,84굴-015
굴진효과조사,1984,"삼보광산(금,은)굴진효과조사보고서",삼보,"금,은",강원도정선군여량면,,84굴-014
굴진효과조사,1984,"청주광산(금,은)굴진효과조사보고서",청주,"금,동,아연,연,은",충청북도청주시상당구용정동,,84굴-013
굴진효과조사,1984,"인성광산(금,은)굴진효과조사보고서",인성,"금,동,아연,연,은",강원도인제군기린면,,84굴-012
