공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
26,1978-10-10,전남 신안군 안좌면,기좌도,규사,282,7,2016-10-01~2026-09-30,기좌도7
27,2000-12-19,경기 안산시 풍도동,풍도,규사,274,43,2014-12-20~2021-12-19,풍도43
28,2011-05-20,경상남도 창원시 마산합포구 진전면,진동,"금,은,동,아면",281,25,2011-05-21~2031-05-20,진동25
29,2011-05-20,경상남도 고성군 삼산면,충무,"금,은,동",267,125,2011-05-21~2031-05-20,충무125
30,2011-05-20,경상남도 고성군 삼산면,충무,"금,은",276,115,2011-05-21~2031-05-20,충무115
31,2011-06-02,경기도 안산시 단원구,대부도,규석,34,77,2011-06-03~2031-06-02,대부도77
32,2011-05-03,전라남도 신안군 지도읍,무안,고령토,70,141,2011-05-04~2031-05-03,무안141
33,2011-05-19,전남 여수시 화정면,개도,납석,62,66,2011-05-20~2031-05-19,개도66
34,2002-06-11,"인천광역시 옹진군 북도면, 강화군 화도면",온수리,"사금,티탄철",272,106,2014-06-12~2019-06-11,온수리106
35,2006-12-20,인천광역시 강화군 삼산면,강화,규석,68,129,2006-12-21~2026-12-20,강화129
37,2011-03-24,전라남도 무안군 해제면,망운,고령토,127,105,2011-03-25~2031-03-24,망운105
38,2011-03-24,전남 무안군 해제면,망운,고령토,281,103,2011-03-25~2031-03-24,망운103
39,2010-10-08,전라남도 진도군 조도면,지산,"금,은광",235,123,2010-10-09~2030-10-08,지산123
40,2010-10-08,전라남도 진도군 조도면,지산,"금,은광",227,112,2010-10-09~2030-10-08,지산112
41,2011-08-23,전남 완도군 고금면,고금도,납석,70,75,2011-08-24~2031-08-23,고금도75
